,CAM_01,CAM_02,CAM_03,CAM_04,CAM_05,CAM_06,CAM_07,CAM_08,CAM_09,CAM_10,CAM_11,CAM_12,CAM_13,CAM_14,CAM_15,CAM_16,CAM_17,CAM_18,CAM_19,CAM_20,CAM_21,CAM_22,CAM_23,CAM_24,CAM_25,CAM_26,CAM_27,CAM_28,CAM_29,CAM_30
CAM_14,0.1649,0.0179,0.0179,0.0179,0.0179,0.0143,0.0287,0.0287,0.0323,0.1254,0.0215,0.0143,0.0179,0.0,0.0072,0.0072,0.0358,0.0072,0.0215,0.0968,0.0143,0.086,0.0287,0.0179,0.0179,0.0,0.0896,0.0108,0.0251,0.0143
CAM_15,0.2368,0.0263,0.0132,0.0,0.0263,0.0263,0.0,0.0,0.0,0.0132,0.1579,0.0,0.0,0.0395,0.0,0.0132,0.0132,0.0,0.0,0.0263,0.0132,0.0395,0.0,0.0,0.0,0.0,0.0789,0.25,0.0132,0.0132
CAM_16,0.1053,0.0175,0.0175,0.0,0.0351,0.0,0.0175,0.0,0.0,0.0526,0.0175,0.0,0.0351,0.1053,0.0,0.0,0.0175,0.0351,0.0,0.1754,0.0,0.1404,0.0175,0.0526,0.0175,0.0351,0.0175,0.0526,0.0175,0.0175
CAM_17,0.0185,0.0,0.0,0.0185,0.0,0.0185,0.0185,0.0,0.0,0.1296,0.0,0.0185,0.0,0.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0185,0.0185,0.0185,0.0185,0.0185,0.0,0.0,0.6296
CAM_18,0.0339,0.0,0.0169,0.0169,0.0,0.0,0.0169,0.0,0.0,0.0678,0.0339,0.0,0.0339,0.1356,0.2373,0.0339,0.0169,0.0,0.0169,0.0339,0.0,0.0847,0.0,0.0169,0.0,0.0339,0.0847,0.0508,0.0,0.0339
CAM_19,0.1364,0.0227,0.0455,0.0,0.0455,0.0,0.0227,0.0,0.0682,0.1818,0.0227,0.0455,0.0,0.1136,0.0227,0.0227,0.0,0.0,0.0,0.0455,0.0,0.0682,0.0455,0.0,0.0,0.0,0.0909,0.0,0.0,0.0
CAM_20,0.1513,0.0185,0.0185,0.0148,0.0185,0.0295,0.0185,0.0111,0.0185,0.1107,0.0111,0.0185,0.0148,0.1365,0.0,0.0111,0.0258,0.0148,0.0258,0.0,0.0,0.1107,0.0332,0.0148,0.0221,0.0074,0.0923,0.0185,0.0221,0.0111
CAM_21,0.1404,0.0351,0.0,0.0351,0.0,0.0,0.0175,0.0,0.0175,0.0351,0.3684,0.0175,0.0351,0.0877,0.0,0.0175,0.0351,0.0,0.0,0.0702,0.0,0.0,0.0175,0.0,0.0175,0.0,0.0,0.0,0.0526,0.0
CAM_22,0.0772,0.0081,0.0244,0.0203,0.0244,0.0041,0.0122,0.0041,0.0,0.0894,0.0163,0.0163,0.0203,0.1382,0.0,0.0203,0.0244,0.0244,0.0325,0.1016,0.0203,0.0,0.0285,0.0244,0.0163,0.0122,0.1179,0.0772,0.0244,0.0203
CAM_23,0.0806,0.0484,0.0161,0.0323,0.0484,0.0,0.0,0.0,0.0,0.0806,0.0161,0.0323,0.0,0.0323,0.129,0.0161,0.0,0.0,0.0,0.0484,0.0,0.1613,0.0,0.0323,0.0323,0.0161,0.0323,0.0968,0.0323,0.0161
CAM_24,0.0682,0.0909,0.0,0.0455,0.0,0.0,0.0,0.0227,0.0,0.1364,0.0455,0.0,0.0227,0.0909,0.0455,0.0,0.0227,0.0455,0.0227,0.0455,0.0,0.0,0.0,0.0,0.0,0.0,0.1136,0.1136,0.0227,0.0455
CAM_25,0.0312,0.0,0.0156,0.0469,0.0156,0.0,0.0469,0.0,0.0,0.0781,0.0,0.0,0.0,0.0781,0.2344,0.0156,0.0,0.0312,0.0312,0.0312,0.0,0.0781,0.0,0.0156,0.0,0.0312,0.0312,0.0156,0.0156,0.1562
CAM_26,0.1148,0.0328,0.0328,0.0164,0.0164,0.0164,0.0164,0.0492,0.0,0.0492,0.0,0.0328,0.0,0.0656,0.0164,0.0328,0.0164,0.0328,0.0,0.0328,0.0328,0.1475,0.0,0.0328,0.0,0.0,0.1803,0.0,0.0164,0.0164
CAM_27,0.0859,0.1719,0.0273,0.0117,0.0156,0.0039,0.0234,0.0,0.0,0.082,0.0156,0.0039,0.043,0.1328,0.0,0.0273,0.0195,0.0078,0.0195,0.0977,0.0234,0.0039,0.0117,0.0234,0.0273,0.0156,0.0,0.0977,0.0039,0.0039
CAM_28,0.0321,0.0,0.0064,0.0256,0.0128,0.2051,0.0192,0.2564,0.1987,0.0385,0.109,0.0,0.0,0.0321,0.0,0.0,0.0064,0.0064,0.0064,0.0321,0.0,0.0,0.0064,0.0,0.0,0.0,0.0,0.0,0.0064,0.0
CAM_29,0.1639,0.0328,0.0164,0.0164,0.0164,0.0,0.0328,0.0,0.0,0.0984,0.0164,0.0164,0.0328,0.1148,0.0,0.0164,0.0164,0.0164,0.0,0.0328,0.0164,0.1148,0.0,0.0328,0.0,0.0,0.1639,0.0328,0.0,0.0
CAM_30,0.1106,0.0251,0.0302,0.0,0.0302,0.0251,0.0,0.0151,0.0402,0.0151,0.0201,0.005,0.0553,0.0151,0.0,0.0402,0.0201,0.0101,0.005,0.2462,0.0201,0.0905,0.0101,0.0,0.005,0.0151,0.1055,0.0101,0.0352,0.0
