plate,prev2,prev1,actual,pred1_1st,pred1_2nd,p_actual_1st,p_actual_2nd,correct_1st,correct_2nd
TN33RV7539,,CAM_27,CAM_02,CAM_02,CAM_02,0.17073170731707318,0.17073170731707318,True,True
TN10FZ1574,,CAM_01,CAM_11,CAM_11,CAM_11,0.2534562211981567,0.2534562211981567,True,True
TN78ZG9639,,CAM_01,CAM_11,CAM_11,CAM_11,0.2534562211981567,0.2534562211981567,True,True
TN20JE5460,,CAM_22,CAM_05,CAM_14,CAM_14,0.0,0.0,False,False
TN56VY9940,CAM_03,CAM_28,CAM_09,CAM_08,CAM_06,0.1693548387096774,0.3333333333333333,False,False
TN61FG6744,CAM_10,CAM_30,CAM_22,CAM_20,CAM_20,0.0,0.0,False,False
TN90JS2059,CAM_27,CAM_02,CAM_22,CAM_22,CAM_22,0.6201550387596899,1.0,True,True
TN80LV6015,,CAM_23,CAM_14,CAM_22,CAM_22,0.0,0.0,False,False
TN52PV1815,,CAM_01,CAM_11,CAM_11,CAM_11,0.2534562211981567,0.2534562211981567,True,True
TN99TG5721,,CAM_28,CAM_14,CAM_08,CAM_08,0.0,0.0,False,False
TN55TL9435,,CAM_16,CAM_22,CAM_20,CAM_20,0.1282051282051282,0.1282051282051282,False,False
TN37ZN4403,,CAM_12,CAM_04,CAM_15,CAM_15,0.0,0.0,False,False
TN78HZ6746,,CAM_20,CAM_27,CAM_01,CAM_01,0.0,0.0,False,False
TN93AF9676,CAM_11,CAM_02,CAM_22,CAM_22,CAM_22,0.6201550387596899,1.0,True,True
TN69YS1157,,CAM_29,CAM_21,CAM_27,CAM_27,0.0,0.0,False,False
TN86KC6335,,CAM_27,CAM_10,CAM_02,CAM_02,0.0,0.0,False,False
TN86EQ5888,,CAM_17,CAM_27,CAM_30,CAM_30,0.0,0.0,False,False
TN34AX3691,,CAM_02,CAM_10,CAM_22,CAM_22,0.0,0.0,False,False
TN36EH3513,,CAM_27,CAM_10,CAM_02,CAM_02,0.0,0.0,False,False
TN01BV5998,,CAM_20,CAM_30,CAM_01,CAM_01,0.0,0.0,False,False
TN65ZC9516,,CAM_20,CAM_14,CAM_01,CAM_01,0.13551401869158877,0.13551401869158877,False,False
TN48FX8954,,CAM_22,CAM_23,CAM_14,CAM_14,0.0,0.0,False,False
TN35TW2821,,CAM_12,CAM_22,CAM_15,CAM_15,0.16071428571428573,0.16071428571428573,False,False
TN68TE9972,,CAM_07,CAM_15,CAM_15,CAM_15,0.14893617021276595,0.14893617021276595,True,True
TN74FF1075,,CAM_10,CAM_30,CAM_30,CAM_30,0.5943775100401606,0.5943775100401606,True,True
TN20VP7094,,CAM_17,CAM_30,CAM_30,CAM_30,0.6136363636363636,0.6136363636363636,True,True
TN80RA8937,,CAM_27,CAM_20,CAM_02,CAM_02,0.0,0.0,False,False
TN90GG8668,,CAM_14,CAM_11,CAM_01,CAM_01,0.0,0.0,False,False
TN79RR1097,CAM_22,CAM_28,CAM_09,CAM_08,CAM_06,0.1693548387096774,0.3,False,False
TN49YC4064,,CAM_01,CAM_10,CAM_11,CAM_11,0.14285714285714285,0.14285714285714285,False,False
TN23AJ3788,CAM_22,CAM_28,CAM_08,CAM_08,CAM_06,0.27419354838709675,0.3,True,False
TN15DE8517,,CAM_12,CAM_22,CAM_15,CAM_15,0.16071428571428573,0.16071428571428573,False,False
TN66XR1903,,CAM_12,CAM_22,CAM_15,CAM_15,0.16071428571428573,0.16071428571428573,False,False
TN35EE7069,,CAM_22,CAM_17,CAM_14,CAM_14,0.0,0.0,False,False
TN82PV8205,,CAM_03,CAM_14,CAM_27,CAM_27,0.11627906976744186,0.11627906976744186,False,False
TN47WU1418,,CAM_15,CAM_06,CAM_01,CAM_01,0.0,0.0,False,False
TN38NN5108,CAM_17,CAM_30,CAM_27,CAM_20,CAM_20,0.11392405063291139,0.17647058823529413,False,False
TN48KP3938,CAM_07,CAM_15,CAM_16,CAM_01,CAM_01,0.0,0.0,False,False
TN86DG9325,,CAM_20,CAM_12,CAM_01,CAM_01,0.0,0.0,False,False
TN36XL3517,,CAM_20,CAM_10,CAM_01,CAM_01,0.0,0.0,False,False
TN60RT2491,,CAM_20,CAM_01,CAM_01,CAM_01,0.14485981308411214,0.14485981308411214,True,True
TN35TH9975,,CAM_20,CAM_10,CAM_01,CAM_01,0.0,0.0,False,False
TN14TM4789,,CAM_16,CAM_24,CAM_20,CAM_20,0.0,0.0,False,False
TN87UZ2603,,CAM_26,CAM_01,CAM_22,CAM_22,0.13043478260869565,0.13043478260869565,False,False
TN37HP6615,,CAM_01,CAM_28,CAM_11,CAM_11,0.1152073732718894,0.1152073732718894,False,False
TN74VG6148,,CAM_01,CAM_29,CAM_11,CAM_11,0.0,0.0,False,False
TN39DG7199,,CAM_30,CAM_16,CAM_20,CAM_20,0.0,0.0,False,False
TN79MR2276,,CAM_21,CAM_11,CAM_11,CAM_11,0.4,0.4,True,True
TN08RS1580,CAM_28,CAM_11,CAM_02,CAM_02,CAM_02,0.4764705882352941,0.6428571428571429,True,True
TN51CX7711,,CAM_30,CAM_18,CAM_20,CAM_20,0.0,0.0,False,False
TN43NF2261,,CAM_14,CAM_20,CAM_01,CAM_01,0.0,0.0,False,False
TN23NX3052,,CAM_14,CAM_02,CAM_01,CAM_01,0.0,0.0,False,False
TN80EC6396,,CAM_20,CAM_24,CAM_01,CAM_01,0.0,0.0,False,False
TN81PM4800,,CAM_14,CAM_01,CAM_01,CAM_01,0.16055045871559634,0.16055045871559634,True,True
TN64LB7046,,CAM_01,CAM_12,CAM_11,CAM_11,0.0,0.0,False,False
TN62LB9502,,CAM_14,CAM_25,CAM_01,CAM_01,0.0,0.0,False,False
TN01ET3947,CAM_17,CAM_30,CAM_20,CAM_20,CAM_20,0.25316455696202533,0.23529411764705882,True,True
TN51TM9012,,CAM_10,CAM_30,CAM_30,CAM_30,0.5943775100401606,0.5943775100401606,True,True
TN83UC7927,,CAM_22,CAM_14,CAM_14,CAM_14,0.14,0.14,True,True
TN06PS1429,,CAM_01,CAM_28,CAM_11,CAM_11,0.1152073732718894,0.1152073732718894,False,False
TN29ZB3657,,CAM_26,CAM_22,CAM_22,CAM_22,0.17391304347826086,0.17391304347826086,True,True
TN22WW8160,,CAM_26,CAM_27,CAM_22,CAM_22,0.13043478260869565,0.13043478260869565,False,False
TN69KN8705,CAM_01,CAM_11,CAM_27,CAM_02,CAM_02,0.29411764705882354,0.2978723404255319,False,False
TN45TS8967,,CAM_20,CAM_10,CAM_01,CAM_01,0.0,0.0,False,False
TN13QL8198,CAM_04,CAM_15,CAM_28,CAM_01,CAM_01,0.23076923076923078,0.2,False,False
TN61FM2688,,CAM_30,CAM_10,CAM_20,CAM_20,0.0,0.0,False,False
TN73GK6860,,CAM_30,CAM_09,CAM_20,CAM_20,0.0,0.0,False,False
TN51TM9012,CAM_10,CAM_30,CAM_13,CAM_20,CAM_20,0.0,0.0,False,False
TN89TR4990,,CAM_03,CAM_26,CAM_27,CAM_27,0.0,0.0,False,False
TN41NC1898,,CAM_30,CAM_12,CAM_20,CAM_20,0.0,0.0,False,False
TN51QF8400,,CAM_14,CAM_27,CAM_01,CAM_01,0.0,0.0,False,False
TN71ZB6820,CAM_01,CAM_11,CAM_27,CAM_02,CAM_02,0.29411764705882354,0.2978723404255319,False,False
TN12XW3539,,CAM_20,CAM_01,CAM_01,CAM_01,0.14485981308411214,0.14485981308411214,True,True
TN05VW2121,,CAM_10,CAM_30,CAM_30,CAM_30,0.5943775100401606,0.5943775100401606,True,True
TN88XL1266,,CAM_22,CAM_01,CAM_14,CAM_14,0.0,0.0,False,False
TN70AQ5919,,CAM_14,CAM_27,CAM_01,CAM_01,0.0,0.0,False,False
TN94KP6645,,CAM_27,CAM_14,CAM_02,CAM_02,0.14634146341463414,0.14634146341463414,False,False
TN30TB8871,,CAM_26,CAM_17,CAM_22,CAM_22,0.0,0.0,False,False
TN87TW6958,,CAM_14,CAM_02,CAM_01,CAM_01,0.0,0.0,False,False
TN04GR7805,CAM_11,CAM_02,CAM_22,CAM_22,CAM_22,0.6201550387596899,1.0,True,True
TN39FN3969,,CAM_21,CAM_12,CAM_11,CAM_11,0.0,0.0,False,False
TN90YR8497,,CAM_21,CAM_11,CAM_11,CAM_11,0.4,0.4,True,True
TN80ZE8354,,CAM_20,CAM_22,CAM_01,CAM_01,0.11214953271028037,0.11214953271028037,False,False
TN47MJ6567,,CAM_27,CAM_18,CAM_02,CAM_02,0.0,0.0,False,False
TN60YJ2962,,CAM_19,CAM_05,CAM_10,CAM_10,0.0,0.0,False,False
TN76XN6572,CAM_21,CAM_11,CAM_27,CAM_02,CAM_02,0.29411764705882354,0.45454545454545453,False,False
TN42BZ1879,,CAM_24,CAM_02,CAM_27,CAM_27,0.0,0.0,False,False
TN33AB5835,,CAM_28,CAM_11,CAM_08,CAM_08,0.0,0.0,False,False
TN97VM8964,,CAM_10,CAM_30,CAM_30,CAM_30,0.5943775100401606,0.5943775100401606,True,True
TN32XD7936,,CAM_10,CAM_14,CAM_30,CAM_30,0.09236947791164658,0.09236947791164658,False,False
TN38WE9297,,CAM_01,CAM_10,CAM_11,CAM_11,0.14285714285714285,0.14285714285714285,False,False
TN47KB8622,,CAM_20,CAM_18,CAM_01,CAM_01,0.0,0.0,False,False
TN23CN9966,,CAM_20,CAM_29,CAM_01,CAM_01,0.0,0.0,False,False
TN79EZ1759,,CAM_05,CAM_22,CAM_10,CAM_10,0.0,0.0,False,False
TN03WP7006,CAM_11,CAM_02,CAM_22,CAM_22,CAM_22,0.6201550387596899,1.0,True,True
TN26DG2323,CAM_10,CAM_30,CAM_16,CAM_20,CAM_20,0.0,0.0,False,False
TN26QV3259,,CAM_27,CAM_02,CAM_02,CAM_02,0.17073170731707318,0.17073170731707318,True,True
TN36JK8010,,CAM_28,CAM_11,CAM_08,CAM_08,0.0,0.0,False,False
TN41YP7187,,CAM_08,CAM_11,CAM_11,CAM_11,0.21739130434782608,0.21739130434782608,True,True
TN55GH7481,,CAM_03,CAM_14,CAM_27,CAM_27,0.11627906976744186,0.11627906976744186,False,False
TN23TZ2490,,CAM_17,CAM_30,CAM_30,CAM_30,0.6136363636363636,0.6136363636363636,True,True
TN26CU3073,,CAM_20,CAM_06,CAM_01,CAM_01,0.0,0.0,False,False
TN56NB7966,,CAM_27,CAM_01,CAM_02,CAM_02,0.0,0.0,False,False
TN05XR3773,,CAM_20,CAM_14,CAM_01,CAM_01,0.13551401869158877,0.13551401869158877,False,False
TN45KR1769,,CAM_16,CAM_17,CAM_20,CAM_20,0.0,0.0,False,False
TN12VM8366,,CAM_27,CAM_25,CAM_02,CAM_02,0.0,0.0,False,False
TN99DV1418,,CAM_20,CAM_14,CAM_01,CAM_01,0.13551401869158877,0.13551401869158877,False,False
TN18QY2155,,CAM_14,CAM_01,CAM_01,CAM_01,0.16055045871559634,0.16055045871559634,True,True
TN94YB8844,,CAM_15,CAM_27,CAM_01,CAM_01,0.0,0.0,False,False
TN29EK8711,,CAM_10,CAM_30,CAM_30,CAM_30,0.5943775100401606,0.5943775100401606,True,True
TN88YZ7806,,CAM_27,CAM_02,CAM_02,CAM_02,0.17073170731707318,0.17073170731707318,True,True
TN48SS8236,CAM_11,CAM_02,CAM_22,CAM_22,CAM_22,0.6201550387596899,1.0,True,True
TN39NC8020,,CAM_24,CAM_30,CAM_27,CAM_27,0.0,0.0,False,False
TN21TH3019,,CAM_07,CAM_30,CAM_15,CAM_15,0.1276595744680851,0.1276595744680851,False,False
TN04BD9891,,CAM_29,CAM_20,CAM_27,CAM_27,0.0,0.0,False,False
TN48TZ7930,,CAM_12,CAM_27,CAM_15,CAM_15,0.0,0.0,False,False
TN21NU2127,CAM_27,CAM_28,CAM_09,CAM_08,CAM_08,0.1693548387096774,0.4,False,False
TN19JA6552,,CAM_20,CAM_14,CAM_01,CAM_01,0.13551401869158877,0.13551401869158877,False,False
TN27PU4731,,CAM_27,CAM_02,CAM_02,CAM_02,0.17073170731707318,0.17073170731707318,True,True
TN18DD5883,,CAM_24,CAM_20,CAM_27,CAM_27,0.0,0.0,False,False
TN74PS9365,,CAM_29,CAM_14,CAM_27,CAM_27,0.0,0.0,False,False
TN90LN5542,,CAM_22,CAM_12,CAM_14,CAM_14,0.0,0.0,False,False
TN67MC1274,,CAM_07,CAM_19,CAM_15,CAM_15,0.0,0.0,False,False
TN42DP3297,,CAM_22,CAM_11,CAM_14,CAM_14,0.0,0.0,False,False
TN12GB5562,,CAM_20,CAM_14,CAM_01,CAM_01,0.13551401869158877,0.13551401869158877,False,False
TN79TW8431,CAM_15,CAM_28,CAM_09,CAM_08,CAM_08,0.1693548387096774,0.125,False,False
TN29GU5412,,CAM_22,CAM_27,CAM_14,CAM_14,0.11,0.11,False,False
TN81CZ2384,,CAM_22,CAM_13,CAM_14,CAM_14,0.0,0.0,False,False
TN24TR1604,,CAM_14,CAM_20,CAM_01,CAM_01,0.0,0.0,False,False
TN42RW8081,,CAM_05,CAM_01,CAM_10,CAM_10,0.0,0.0,False,False
TN06AT7775,,CAM_16,CAM_14,CAM_20,CAM_20,0.0,0.0,False,False
TN43NZ7174,CAM_27,CAM_28,CAM_09,CAM_08,CAM_08,0.1693548387096774,0.4,False,False
TN36VQ4974,,CAM_27,CAM_14,CAM_02,CAM_02,0.14634146341463414,0.14634146341463414,False,False
TN06JZ9110,CAM_01,CAM_11,CAM_02,CAM_02,CAM_02,0.4764705882352941,0.6808510638297872,True,True
TN15FP2088,,CAM_14,CAM_22,CAM_01,CAM_01,0.0963302752293578,0.0963302752293578,False,False
TN50YH7682,CAM_15,CAM_28,CAM_09,CAM_08,CAM_08,0.1693548387096774,0.125,False,False
TN17CJ2384,,CAM_16,CAM_14,CAM_20,CAM_20,0.0,0.0,False,False
TN66UB2460,,CAM_01,CAM_11,CAM_11,CAM_11,0.2534562211981567,0.2534562211981567,True,True
TN70KQ2811,,CAM_06,CAM_11,CAM_11,CAM_11,0.3333333333333333,0.3333333333333333,True,True
TN44BH9586,,CAM_02,CAM_22,CAM_22,CAM_22,0.6201550387596899,0.6201550387596899,True,True
TN05LE5598,,CAM_26,CAM_02,CAM_22,CAM_22,0.0,0.0,False,False
TN65PJ8914,,CAM_30,CAM_22,CAM_20,CAM_20,0.0,0.0,False,False
TN17FU6055,,CAM_06,CAM_10,CAM_11,CAM_11,0.0,0.0,False,False
TN82DY5532,,CAM_05,CAM_20,CAM_10,CAM_10,0.14705882352941177,0.14705882352941177,False,False
TN90SM4470,,CAM_08,CAM_14,CAM_11,CAM_11,0.15217391304347827,0.15217391304347827,False,False
TN93XM1837,,CAM_10,CAM_07,CAM_30,CAM_30,0.0,0.0,False,False
TN02FX1218,,CAM_09,CAM_19,CAM_11,CAM_11,0.0,0.0,False,False
TN67SS4753,,CAM_27,CAM_14,CAM_02,CAM_02,0.14634146341463414,0.14634146341463414,False,False
TN50QC7749,,CAM_28,CAM_01,CAM_08,CAM_08,0.0,0.0,False,False
TN83ND9976,,CAM_10,CAM_01,CAM_30,CAM_30,0.03614457831325301,0.03614457831325301,False,False
TN66NP1290,,CAM_20,CAM_03,CAM_01,CAM_01,0.0,0.0,False,False
TN52MK5647,,CAM_22,CAM_10,CAM_14,CAM_14,0.0,0.0,False,False
TN94BS1775,,CAM_14,CAM_23,CAM_01,CAM_01,0.0,0.0,False,False
TN30TU2890,,CAM_16,CAM_03,CAM_20,CAM_20,0.0,0.0,False,False
TN76FG9176,,CAM_29,CAM_01,CAM_27,CAM_27,0.14285714285714285,0.14285714285714285,False,False
TN15MK9087,,CAM_14,CAM_03,CAM_01,CAM_01,0.0,0.0,False,False
TN39UC2868,,CAM_01,CAM_29,CAM_11,CAM_11,0.0,0.0,False,False
TN01MY3982,,CAM_13,CAM_30,CAM_11,CAM_11,0.0,0.0,False,False
TN06NW9703,,CAM_16,CAM_20,CAM_20,CAM_20,0.1794871794871795,0.1794871794871795,True,True
TN32SL1914,,CAM_23,CAM_20,CAM_22,CAM_22,0.0,0.0,False,False
TN91FX6891,,CAM_20,CAM_13,CAM_01,CAM_01,0.0,0.0,False,False
TN75YG4315,,CAM_11,CAM_02,CAM_02,CAM_02,0.4764705882352941,0.4764705882352941,True,True
TN11AQ9473,,CAM_27,CAM_01,CAM_02,CAM_02,0.0,0.0,False,False
TN07DD2066,,CAM_14,CAM_22,CAM_01,CAM_01,0.0963302752293578,0.0963302752293578,False,False
TN29PH4759,,CAM_10,CAM_30,CAM_30,CAM_30,0.5943775100401606,0.5943775100401606,True,True
TN93YV3701,,CAM_10,CAM_30,CAM_30,CAM_30,0.5943775100401606,0.5943775100401606,True,True
TN60JT6763,,CAM_14,CAM_01,CAM_01,CAM_01,0.16055045871559634,0.16055045871559634,True,True
TN30WN7329,,CAM_20,CAM_01,CAM_01,CAM_01,0.14485981308411214,0.14485981308411214,True,True
TN75YC9337,CAM_21,CAM_11,CAM_27,CAM_02,CAM_02,0.29411764705882354,0.45454545454545453,False,False
TN81PQ9070,,CAM_09,CAM_10,CAM_11,CAM_11,0.08888888888888889,0.08888888888888889,False,False
TN24CS4087,,CAM_10,CAM_30,CAM_30,CAM_30,0.5943775100401606,0.5943775100401606,True,True
TN41CE1431,,CAM_14,CAM_01,CAM_01,CAM_01,0.16055045871559634,0.16055045871559634,True,True
TN84RY6096,,CAM_10,CAM_30,CAM_30,CAM_30,0.5943775100401606,0.5943775100401606,True,True
TN24TW3340,,CAM_01,CAM_28,CAM_11,CAM_11,0.1152073732718894,0.1152073732718894,False,False
TN73CZ6339,,CAM_20,CAM_30,CAM_01,CAM_01,0.0,0.0,False,False
TN33MK3840,,CAM_10,CAM_30,CAM_30,CAM_30,0.5943775100401606,0.5943775100401606,True,True
TN31ZR9891,,CAM_10,CAM_24,CAM_30,CAM_30,0.0,0.0,False,False
TN98SC1888,,CAM_10,CAM_16,CAM_30,CAM_30,0.0,0.0,False,False
TN95DA3986,,CAM_08,CAM_11,CAM_11,CAM_11,0.21739130434782608,0.21739130434782608,True,True
TN87NL2333,,CAM_20,CAM_26,CAM_01,CAM_01,0.0,0.0,False,False
TN12TE9330,CAM_25,CAM_30,CAM_20,CAM_20,CAM_20,0.25316455696202533,0.8333333333333334,True,True
TN13QL8198,,CAM_04,CAM_15,CAM_15,CAM_15,0.23404255319148937,0.23404255319148937,True,True
TN98JT4731,,CAM_14,CAM_01,CAM_01,CAM_01,0.16055045871559634,0.16055045871559634,True,True
TN15UB4007,,CAM_10,CAM_30,CAM_30,CAM_30,0.5943775100401606,0.5943775100401606,True,True
TN12HD9197,,CAM_08,CAM_11,CAM_11,CAM_11,0.21739130434782608,0.21739130434782608,True,True
TN79KG7323,,CAM_14,CAM_11,CAM_01,CAM_01,0.0,0.0,False,False
TN35RA1564,,CAM_02,CAM_14,CAM_22,CAM_22,0.0,0.0,False,False
TN66XS6785,,CAM_30,CAM_06,CAM_20,CAM_20,0.0,0.0,False,False
TN79VZ9126,,CAM_14,CAM_10,CAM_01,CAM_01,0.13302752293577982,0.13302752293577982,False,False
TN02AU6243,,CAM_22,CAM_14,CAM_14,CAM_14,0.14,0.14,True,True
TN63BU1285,,CAM_22,CAM_29,CAM_14,CAM_14,0.0,0.0,False,False
TN78HR3238,,CAM_18,CAM_30,CAM_15,CAM_15,0.0,0.0,False,False
TN73TY9789,,CAM_18,CAM_15,CAM_15,CAM_15,0.23809523809523808,0.23809523809523808,True,True
TN35ZU6218,,CAM_10,CAM_29,CAM_30,CAM_30,0.0,0.0,False,False
TN83DV4881,,CAM_21,CAM_09,CAM_11,CAM_11,0.0,0.0,False,False
TN65FV4998,,CAM_18,CAM_22,CAM_15,CAM_15,0.0,0.0,False,False
TN92MK8573,CAM_12,CAM_15,CAM_28,CAM_01,CAM_28,0.23076923076923078,0.42857142857142855,False,True
TN18KM5045,,CAM_24,CAM_10,CAM_27,CAM_27,0.0,0.0,False,False
TN33YK9690,,CAM_26,CAM_08,CAM_22,CAM_22,0.0,0.0,False,False
TN44CM3075,,CAM_14,CAM_20,CAM_01,CAM_01,0.0,0.0,False,False
TN28RA1762,,CAM_10,CAM_22,CAM_30,CAM_30,0.0,0.0,False,False
TN08QS6926,,CAM_14,CAM_15,CAM_01,CAM_01,0.0,0.0,False,False
